BGGId,Name,AvgRating,NumUserRatings
1,Die Macher,7.61428,5354
3,Samurai,7.45601,15146
5,Acquire,7.33861,18655
11,Bohnanza,7.04068,39886
12,Ra,7.47924,19685
13,Catan,7.13746,107141
18,RoboRally,7.07714,22840
22,Magic Realm,7.21002,2019
26,Age of Renaissance,7.09678,2144
42,Tigris & Euphrates,7.69599,26068
46,Medici,7.15626,7414
47,Chinatown,7.35277,9033
50,Lost Cities,7.18784,39233
51,Ricochet Robots,7.01391,8262
54,Tikal,7.33204,18453
60,Vinci,7.07778,3965
66,Löwenherz,7.02767,2459
71,Civilization,7.49788,7197
84,Rommel in the Desert,7.54678,1003
88,Torres,7.10972,8988
91,Paths of Glory,8.05888,4672
93,El Grande,7.74966,24369
94,Union Pacific,7.20662,4205
118,Modern Art,7.43439,17950
121,Dune,7.61516,5591
150,PitchCar,7.26579,9976
152,Mü & More,7.15323,1850
157,Eurorails,7.08606,1771
171,Chess,7.15112,30537
172,For Sale,7.2261,25458
188,Go,7.63525,15442
215,Tichu,7.57817,13814
220,High Society,7.09497,10021
221,Ikusa,7.02371,4974
224,History of the World,7.12299,4416
230,Merchant of Venus,7.14422,2673
234,Hannibal: Rome vs. Carthage,7.80012,4824
237,Wooden Ships & Iron Men,7.05421,1998
240,Britannia,7.20039,4094
243,Advanced Squad Leader,8.00152,3577
254,Empires in Arms,7.61853,1257
286,Machiavelli,7.0996,1048
354,Stick 'Em,7.04365,3105
372,Schotten Totten,7.32098,8528
421,1830: Railways & Robber Barons,7.86873,4954
423,1856: Railroading in Upper Canada from 1856,7.51252,1270
463,Magic: The Gathering,7.53543,34127
475,Taj Mahal,7.27856,7243
478,Citadels,7.07887,49972
483,Diplomacy,7.04026,12414
491,Web of Power,7.30567,3395
503,Through the Desert,7.07686,13054
511,Silverton,7.10227,1033
521,Crokinole,7.93845,13284
527,GIPF,7.09397,3016
528,ZÈRTZ,7.27648,4005
551,Battle Cry,7.14976,3464
552,Bus,7.53447,2446
554,La Città,7.0351,5135
555,The Princes of Florence,7.52664,14752
586,Up Front,7.87075,2179
620,We the People,7.31048,1123
631,Daytona 500,7.1353,1005
699,HeroQuest,7.1501,11504
701,A House Divided: War Between the States 1861-65,7.07239,1947
712,Blood Bowl (Third Edition),7.54407,5361
730,Breakout: Normandy,7.68664,1009
760,Battle Line,7.4134,16110
798,Ace of Aces: Handy Rotary Series,7.03526,1120
822,Carcassonne,7.41883,107937
833,For the People,7.76705,1560
855,Java,7.00894,3373
875,Roads & Boats,7.7313,3153
904,Dream Factory,7.05277,5169
939,Star Wars: The Queen's Gambit,7.5636,2126
1032,B-17: Queen of the Skies,7.08285,1952
1035,Squad Leader,7.5272,3223
1041,San Marco,7.17156,4318
1044,Gunslinger,7.13583,1016
1261,Medina,7.01407,3038
1301,Netrunner,7.44743,2353
1345,Genoa,7.06179,5972
1353,Time's Up!,7.28948,5254
1442,Victory in the Pacific,7.21572,1234
1499,World in Flames,7.60054,1377
1513,The Republic of Rome,7.53694,3992
1540,BattleTech,7.06585,3416
1568,Space Crusade,7.01862,2795
1608,Ambush!,7.4618,2227
1621,Mutant Chronicles: Siege of the Citadel,7.03063,1043
1634,Warhammer Quest,7.47513,2414
1662,"Napoléon: The Waterloo Campaign, 1815",7.35009,1286
1822,Wilderness War,7.71365,1730
1887,Legend of the Five Rings,7.15333,1652
1915,Middle-earth,7.29556,1905
2065,Shogi,7.3693,1616
2081,The Civil War 1861-1865,7.71975,1196
2093,Mahjong,7.02962,6698
2122,Vampire: The Eternal Struggle,7.22164,2305
2163,Space Hulk,7.47639,3696
2181,Bridge,7.45542,2940
2251,Strat-O-Matic Baseball,7.791,1097
2346,DVONN,7.44779,4599
2393,Xiangqi,7.11228,1948
2398,Cribbage,7.06471,8713
2507,Liberté,7.12592,2638
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.70479,18404
2651,Power Grid,7.84328,58328
2653,Survive: Escape from Atlantis!,7.31225,21899
2655,Hive,7.32391,31461
2808,The Russian Campaign,7.30634,1432
2955,Mexica,7.23364,5256
2961,Confusion:  Espionage and Deception in the Cold War,7.07637,1346
3072,Necromunda,7.31539,1840
3076,Puerto Rico,7.96884,65187
3201,Lord of the Rings: The Confrontation,7.1979,6643
3284,Star Wars: Epic Duels,7.00674,3157
3307,Wallenstein,7.46615,3533
3353,World War II: Barbarossa to Berlin,7.31912,1219
3565,Mordheim: City of the Damned,7.31306,1627
3685,Hammer of the Scots,7.54925,3924
3870,7 Ages,7.07108,1027
4098,Age of Steam,7.79148,9392
4099,Keythedral,7.04915,2981
4390,Carcassonne: Hunters and Gatherers,7.12853,11673
4741,Warmachine,7.29312,1033
5072,Carrom,7.05238,1672
5404,Amun-Re,7.3132,8700
6205,Europe Engulfed: WWII European Theatre Block Game,7.48086,1278
6249,Alhambra,7.02899,30026
6472,A Game of Thrones,7.20063,10255
6819,Skat,7.23688,1063
6830,Zendo,7.25312,2836
7480,Sword of Rome,7.33026,1582
7717,Carcassonne: The Castle,7.09732,7738
7854,YINSH,7.69662,7756
8045,Princes of the Renaissance,7.34585,2208
8125,Santiago,7.11085,4925
8217,San Juan,7.24829,22669
8481,Crusader Rex,7.15507,1167
9209,Ticket to Ride,7.41494,75531
9216,Goa,7.57675,11065
9217,Saint Petersburg,7.29053,14976
9440,Maharaja: The Game of Palace Building in India,7.11513,4923
9609,War of the Ring,7.77497,10115
9625,Struggle of Empires,7.51618,3946
9674,Ingenious,7.11846,16006
9823,Advanced Squad Leader: Starter Kit #1,7.83314,2450
10547,Betrayal at House on the Hill,7.05841,39320
10630,Memoir '44,7.55955,26711
11170,Heroscape Master Set: Rise of the Valkyrie,7.43488,7906
11825,Empire of the Sun,8.23804,1564
12002,Jambo,7.00572,8044
12333,Twilight Struggle,8.28096,42826
12493,Twilight Imperium: Third Edition,7.82716,18587
12495,Fire & Axe: A Viking Saga,7.00617,3065
